fecha y hora,temperatura,humedad
2023-11-07 04:40:58.495638584,22.6,67
2023-11-07 04:45:22.162484770,25.2,89
2023-11-07 04:46:09.176283175,25.6,86
2023-11-07 04:46:09.266258334,25.7,85
2023-11-07 04:46:09.460580286,26.2,87
2023-11-07 04:46:23.160042032,26.7,88
2023-11-07 04:46:23.161727200,27.1,89
2023-11-07 04:46:23.422570153,27.5,91
2023-11-07 04:46:23.490553292,27.9,92
2023-11-07 04:46:35.302266418,28.0,90
2023-11-07 04:46:45.312647186,27.7,87
2023-11-07 04:46:51.460274005,27.6,86
2023-11-07 04:46:53.620241562,27.5,84
2023-11-07 04:46:57.354352863,27.4,82
2023-11-07 04:47:01.332427819,27.3,80
2023-11-07 04:47:05.328317399,27.2,77
2023-11-07 04:47:13.526145947,27.1,75
2023-11-07 04:47:15.406392162,27.0,71
2023-11-07 04:47:21.492748315,26.9,68
2023-11-07 04:47:25.394335549,26.8,66
2023-11-07 04:47:29.348471280,26.7,64
2023-11-07 04:47:33.458357816,26.6,63
2023-11-07 04:47:45.418209222,26.4,61
2023-11-07 04:52:46.526308031,25.0,63
2023-11-07 04:52:49.298482760,24.3,64
2023-11-07 04:57:37.706919574,23.8,67
2023-11-07 04:57:41.702887361,23.9,69
2023-11-07 05:13:43.046805557,23.6,67
2023-11-07 05:14:43.486920431,23.7,68
2023-11-07 05:21:56.860114070,23.7,67
2023-11-07 05:23:25.167139221,23.6,65
2023-11-07 05:31:37.047425319,23.0,69
2023-11-07 05:31:47.077551867,23.1,71
2023-11-07 09:12:03.856895649,21.4,72
2023-11-07 09:12:11.870425783,21.4,71
2023-11-07 12:27:26.083872268,21.4,72
2023-11-07 12:28:32.371215517,21.4,72
2023-11-07 12:30:59.491858739,21.5,72
2023-11-07 12:31:01.361642610,21.6,71
2023-11-07 12:32:00.550693524,21.8,71
2023-11-07 17:24:09.674077849,23.2,67
2023-11-07 17:53:43.092606733,23.3,66
2023-11-07 17:56:11.048003933,23.4,67
2023-11-07 18:39:47.346671248,24.3,63
2023-11-07 19:56:11.472619880,27.1,54
2023-11-07 20:26:11.474433407,24.9,60
2023-11-07 20:56:11.418576651,25.0,61
2023-11-07 21:27:07.237956222,24.8,61
2023-11-07 21:56:11.471837554,24.6,65
2023-11-07 22:26:36.845481830,24.2,63
2023-11-07 23:17:25.858139387,24.1,63
2023-11-07 23:47:56.371914294,24.2,65
2023-11-07 23:59:26.952525977,24.1,64
2023-11-08 00:55:41.468238310,23.7,64
2023-11-08 01:55:09.397747539,23.7,64
2023-11-08 02:17:18.014392213,23.4,65
2023-11-08 02:53:51.625939768,23.6,66
2023-11-08 03:08:51.585247108,23.7,67
2023-11-08 03:26:23.299030957,23.7,66
2023-11-08 03:44:32.838728375,23.4,68
2023-11-08 04:05:44.383693781,23.3,67
2023-11-08 04:20:44.311690493,23.1,67
2023-11-08 04:35:44.224627217,22.9,67
2023-11-08 04:50:44.211906276,22.7,68
2023-11-08 05:05:44.218474982,22.5,68
2023-11-08 05:20:44.254566578,22.4,69
2023-11-08 05:35:44.199108452,22.2,70
2023-11-08 05:50:44.150796245,22.3,70
2023-11-08 06:05:45.593253104,22.1,70
2023-11-08 06:20:44.134492474,22.1,70
2023-11-08 06:35:44.133157649,22.0,70
2023-11-08 06:50:44.117917954,21.9,71
2023-11-08 07:05:44.124672210,21.9,71
2023-11-08 07:20:44.086735214,21.8,71
2023-11-08 07:35:44.093313709,21.8,71
2023-11-08 07:50:44.066352195,21.7,71
2023-11-08 08:05:44.043633768,21.7,72
2023-11-08 08:20:44.158705998,21.6,72
2023-11-08 08:35:44.017039538,21.6,72
2023-11-08 08:50:44.010130844,21.6,72
2023-11-08 09:05:43.992880310,21.5,72
2023-11-08 09:20:45.361623402,21.5,72
2023-11-08 09:35:43.965604644,21.5,72
2023-11-08 09:50:43.946517386,21.4,72
2023-11-08 10:05:43.942496045,21.4,73
2023-11-08 10:20:43.922780002,21.4,73
2023-11-08 10:35:43.909380008,21.3,73
2023-11-08 10:50:43.910749709,21.3,73
2023-11-08 10:58:55.274585632,21.3,73
2023-11-08 11:05:43.914967179,21.3,73
2023-11-08 11:20:44.092734993,21.4,73
2023-11-08 11:39:11.196193945,21.4,73
2023-11-08 11:39:11.198973666,21.4,73
2023-11-08 11:42:12.729377064,21.4,73
2023-11-08 12:02:30.613212300,21.4,73
2023-11-08 12:05:51.926828836,21.4,73
2023-11-08 12:17:32.353769921,21.5,73
2023-11-08 12:32:07.902291706,21.5,73
2023-11-08 12:32:33.188486915,21.4,74
